number,name,status
1,PEP Purpose and Guidelines,PA
201,Lockstep Iteration,SF
101,Doing Python Releases 101,IA
160,Python 1.6 Release Schedule,IF
200,Python 2.0 Release Schedule,IF
102,Doing Python Micro Releases,IS
103,Collecting information about git,IW
100,Python Unicode Integration,SF
42,Feature Requests,PW
8,Style Guide for Python Code,PA
20,The Zen of Python,IA
13,Python Language Governance,PA
9,Sample Plaintext PEP Template,PW
11,CPython platform support,PA
12,Sample reStructuredText PEP Template,PA
10,Voting Guidelines,PA
503,Simple Repository API,SF
664,Python 3.11 Release Schedule,IA
684,A Per-Interpreter GIL,SF
702,Marking deprecations using the type system,SA
701,Syntactic formalization of f-strings,SA
700,Additional Fields for the Simple API for Package Indexes,SF
699,Remove private dict version field added in PEP 509,SA
743,Add Py_COMPAT_API_VERSION to the Python C API,S
725,Specifying external dependencies in pyproject.toml,S
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,SF
8105,2024 Term Steering Council election,IF
8104,2023 Term Steering Council election,IF
8103,2022 Term Steering Council election,IF
8100,January 2019 Steering Council election,IF
8016,The Steering Council Model,IA
8101,2020 Term Steering Council election,IF
8015,Organization of the Python community,IR
8102,2021 Term Steering Council election,IF
8014,The Commons Governance Model,IR
8012,The Community Governance Model,IR
8011,Python Governance Model Lead by Trio of Pythonistas,IR
8013,The External Council Governance Model,IR
8010,The Technical Leader Governance Model,IR
8001,Python Governance Voting Process,PF
8000,Python Language Governance Proposal Overview,IF
8002,Open Source Governance Survey,IF
3333,Python Web Server Gateway Interface v1.0.1,IF
3155,Qualified name for classes and functions,SF
3154,Pickle protocol version 4,SF
3153,Asynchronous IO support,SS
3152,Cofunctions,SR
3151,Reworking the OS and IO exception hierarchy,SF
3149,ABI version tagged .so files,SF
3150,Statement local namespaces (aka “given” clause),SD
3148,futures - execute computations asynchronously,SF
3147,PYC Repository Directories,SF
3146,Merging Unladen Swallow into CPython,SW
3145,Asynchronous I/O For subprocess.Popen,SW
3143,Standard daemon process library,SD
3144,IP Address Manipulation Library for the Python Standard Library,SF
3142,Add a “while” clause to generator expressions,SR
3141,A Type Hierarchy for Numbers,SF
3140,"str(container) should call str(item), not repr(item)",SR
3139,Cleaning out sys and the “interpreter” module,SR
3138,String representation in Python 3000,SF
3137,Immutable Bytes and Mutable Buffer,SF
3135,New Super,SF
3136,Labeled break and continue,SR
3134,Exception Chaining and Embedded Tracebacks,SF
3133,Introducing Roles,SR
3130,Access to Current Module/Class/Function,SR
3132,Extended Iterable Unpacking,SF
3131,Supporting Non-ASCII Identifiers,SF
3129,Class Decorators,SF
3128,BList: A Faster List-like Type,SR
3127,Integer Literal Support and Syntax,SF
3125,Remove Backslash Continuation,SR
3126,Remove Implicit String Concatenation,SR
3121,Extension Module Initialization and Finalization,SF
3123,Making PyObject_HEAD conform to standard C,SF
3122,Delineation of the main module,SR
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",SD
3120,Using UTF-8 as the default source encoding,SF
3117,Postfix type declarations,SR
3118,Revising the buffer protocol,SF
3115,Metaclasses in Python 3000,SF
3116,New I/O,SF
3114,Renaming iterator.next() to iterator.__next__(),SF
3113,Removal of Tuple Parameter Unpacking,SF
3112,Bytes literals in Python 3000,SF
3111,Simple input built-in in Python 3000,SF
3110,Catching Exceptions in Python 3000,SF
3109,Raising Exceptions in Python 3000,SF
3107,Function Annotations,SF
3106,"Revamping dict.keys(), .values() and .items()",SF
3119,Introducing Abstract Base Classes,SF
3108,Standard Library Reorganization,SF
3105,Make print a function,SF
3103,A Switch/Case Statement,SR
3104,Access to Names in Outer Scopes,SF
3101,Advanced String Formatting,SF
3100,Miscellaneous Python 3.0 Plans,PF
3003,Python Language Moratorium,PF
3099,Things that will Not Change in Python 3000,PF
3102,Keyword-Only Arguments,SF
3002,Procedure for Backwards-Incompatible Changes,PF
3001,Procedure for reviewing and improving standard library modules,PW
3000,Python 3000,PF
2026,Calendar versioning for Python,P
801,Reserved,IA
789,Preventing task-cancellation bugs by limiting yield in async generators,S
754,IEEE 754 Floating Point Special Values,SR
749,Implementing PEP 649,S
747,TypeExpr: Type Hint for a Type Expression,S
745,Python 3.14 Release Schedule,IA
742,Narrowing types with TypeIs,SA
741,Python Configuration C API,S
744,JIT Compilation,I
740,Index support for digital attestations,I
746,Type checking Annotated metadata,S
739,Static description file for build details of Python installations,S
737,C API to format a type fully qualified name,SF
738,Adding Android as a supported platform,SA
735,Dependency Groups in pyproject.toml,S
736,Shorthand syntax for keyword arguments at invocation,S
734,Multiple Interpreters in the Stdlib,SD
730,Adding iOS as a supported platform,SF
733,An Evaluation of Python’s Public C API,I
732,The Python Documentation Editorial Board,PA
729,Typing governance process,PA
731,C API Working Group Charter,PA
727,Documentation in Annotated Metadata,S
724,Stricter Type Guards,SW
726,Module __setattr__ and __delattr__,SR
728,TypedDict with Typed Extra Items,S
720,Cross-compiling Python packages,I
723,Inline script metadata,SF
722,Dependency specification for single-file scripts,SR
721,Using tarfile.data_filter for source distribution extraction,SF
719,Python 3.13 Release Schedule,IA
713,Callable Modules,SR
714,Rename dist-info-metadata in the Simple API,SA
711,PyBI: a standard format for distributing Python Binaries,S
710,Recording the provenance of installed packages,S
715,Disabling bdist_egg distribution uploads on PyPI,SF
718,Subscriptable functions,S
712,Adding a “converter” parameter to dataclasses.field,SR
709,Inlined comprehensions,SF
704,Require virtual environments by default for package installers,SW
703,Making the Global Interpreter Lock Optional in CPython,SA
707,A simplified signature for __exit__ and __aexit__,SR
705,TypedDict: Read-only items,SA
708,Extending the Repository API to Mitigate Dependency Confusion Attacks,SP
698,Override Decorator for Static Typing,SF
706,Filter for tarfile.extractall,SF
693,Python 3.12 Release Schedule,IA
690,Lazy Imports,SR
695,Type Parameter Syntax,SF
692,Using TypedDict for more precise **kwargs typing,SF
694,Upload 2.0 API for Python Package Repositories,S
696,Type Defaults for Type Parameters,SA
691,JSON-based Simple API for Python Package Indexes,SA
697,Limited C API for Extending Opaque Types,SF
689,Unstable C API tier,SF
687,Isolating modules in the standard library,SA
688,Making the buffer protocol accessible in Python,SF
686,Make UTF-8 mode default,SA
685,Comparison of extra names for optional distribution dependencies,SA
681,Data Class Transforms,SF
683,"Immortal Objects, Using a Fixed Refcount",SF
682,Format Specifier for Signed Zero,SF
674,Disallow using macros as l-values,SD
678,Enriching Exceptions with Notes,SF
680,tomllib: Support for Parsing TOML in the Standard Library,SF
677,Callable Type Syntax,SR
675,Arbitrary Literal String Type,SF
676,PEP Infrastructure Process,PA
679,Allow parentheses in assert statements,S
673,Self Type,SF
666,Reject Foolish Indentation,SR
670,Convert macros to functions in the Python C API,SF
672,Unicode-related Security Considerations for Python,IA
668,Marking Python base environments as “externally managed”,SA
667,Consistent views of namespaces,SA
671,Syntax for late-bound function argument defaults,S
669,Low Impact Monitoring for CPython,SF
657,Include Fine Grained Error Locations in Tracebacks,SF
663,"Standardizing Enum str(), repr(), and format() behaviors",IR
660,Editable installs for pyproject.toml based builds (wheel based),SF
659,Specializing Adaptive Interpreter,I
658,Serve Distribution Metadata in the Simple Repository API,SA
662,Editable installs via virtual wheels,SR
656,Platform Tag for Linux Distributions Using Musl,SF
661,Sentinel Values,S
665,A file format to list Python dependencies for reproducibility of an application,SR
651,Robust Stack Overflow Handling,SR
649,Deferred Evaluation Of Annotations Using Descriptors,SA
652,Maintaining the Stable ABI,SF
650,Specifying Installer Requirements for Python Projects,SW
655,Marking individual TypedDict items as required or potentially-missing,SF
654,Exception Groups and except*,SF
653,Precise Semantics for Pattern Matching,S
648,Extensible customizations of the interpreter at startup,SR
645,Allow writing optional types as x?,SW
647,User-Defined Type Guards,SF
644,Require OpenSSL 1.1.1 or newer,SF
642,Explicit Pattern Syntax for Structural Pattern Matching,SR
643,Metadata for Package Source Distributions,SF
641,Using an underscore in the version portion of Python 3.10 compatibility tags,SR
640,Unused variable syntax,SR
646,Variadic Generics,SF
636,Structural Pattern Matching: Tutorial,IF
634,Structural Pattern Matching: Specification,SF
633,Dependency specification in pyproject.toml using an exploded TOML table,SR
639,Improving License Clarity with Better Package Metadata,S
637,Support for indexing with keyword arguments,SR
638,Syntactic Macros,S
632,Deprecate distutils module,SF
635,Structural Pattern Matching: Motivation and Rationale,IF
628,Add math.tau,SF
631,Dependency specification in pyproject.toml based on PEP 508,SS
629,Versioning PyPI’s Simple API,SF
627,Recording installed projects,SF
626,Precise line numbers for debugging and other tools.,SF
